forecast_day,portfolio_5th,portfolio_median,portfolio_95th,spy_5th,spy_median,spy_95th
1,10987.6842653702,11152.984139325676,11328.984293088874,11119.162863329737,11271.48777227045,11430.500226626014
2,10921.468766851982,11160.413695256499,11418.180997015032,11067.997849319527,11280.907610033099,11487.623817284259
3,10880.446478614036,11165.689945773463,11480.95027587961,11022.346666908677,11278.625365413269,11548.78125328722
4,10836.821793713963,11168.726234851998,11541.435281498923,10988.030944231532,11295.59433498467,11596.952926016185
5,10778.148821578452,11172.908856835085,11577.7909371894,10942.112547375562,11294.925617365254,11634.297024648089
6,10739.997016257697,11174.90143219352,11620.16622852793,10920.429985182396,11293.759289023117,11664.862191774468
7,10711.642669452089,11182.20652534121,11651.062702359834,10896.30907534783,11308.351231039953,11709.94712727431
8,10689.257608247686,11185.364907923817,11712.912513262841,10875.781224708113,11310.510175794912,11744.964053565276
9,10675.78811810817,11189.2721027773,11769.491918279384,10861.951762429695,11319.161007821762,11773.676613759257
10,10663.387966859013,11199.168183942606,11777.504528347918,10859.765061912029,11318.880224244309,11812.704972151116
11,10615.951868850647,11205.962922418403,11807.061858312321,10823.356302884422,11319.934729877345,11854.811219065585
12,10601.26353596315,11208.774100368648,11837.954397356534,10809.409440551843,11339.658674917198,11887.385687327029
13,10605.093350550418,11232.241973026566,11872.060193098781,10796.773694029456,11355.286737725814,11945.068742158235
14,10617.265879971568,11233.409922397583,11901.193039416048,10800.12865737178,11356.316462134339,11955.303050506061
15,10578.927015932446,11234.26924816875,11938.917571575885,10771.041830380065,11370.867928153908,11997.821593479108
16,10563.823108997733,11250.11019488267,11960.37469190169,10750.942114641515,11388.49693584361,12020.171270317116
17,10553.361452775043,11261.160191770943,11998.070342570223,10748.719118803807,11384.938652798504,12042.3615394315
18,10515.801343755018,11263.407960735152,12017.553818971515,10730.401236955317,11390.242157442983,12038.722486580718
19,10513.963693958754,11260.075223269705,12027.589463974098,10697.14160185728,11396.417803079752,12082.887970147112
20,10464.458910842086,11258.166449887063,12098.939988943855,10697.782696334898,11407.674385902832,12124.77356802356
21,10459.655304948015,11269.849289795071,12140.103318293573,10669.118257146803,11411.275067450797,12150.155119109388
22,10446.247949236395,11273.30870100113,12164.82120662433,10648.665789169901,11417.85947484113,12187.492538118626
23,10421.12371384002,11271.826913393717,12137.581636287,10667.633669671162,11411.361386265475,12198.611157192869
24,10442.900765746313,11272.773272625978,12177.140284202196,10608.78059768129,11413.945616050587,12241.917240745774
25,10406.983695869312,11290.256280667192,12190.867457117198,10621.288075872646,11427.97776900926,12285.714849323562
26,10398.921128483338,11293.413840710256,12242.70049270184,10628.444798984236,11425.795484871209,12304.716793035188
27,10393.296178259929,11304.360066904555,12289.181730236704,10610.861339977599,11434.328991775736,12347.378558134404
28,10377.052255131539,11305.206468907905,12304.876123723081,10609.75448333787,11428.40006453818,12382.975415178305
29,10358.140347913586,11309.530656149973,12305.4809602748,10602.177414659462,11445.1794478527,12364.614356058943
30,10366.595286329348,11314.51593713743,12325.397693480463,10590.33836189845,11466.802615964076,12409.52437530244
